call_id,date,founder_name,investor_name,investor_firm,call_type,founder_confidence,clarity_of_thought,communication_quality,team_strength_score,product_clarity,market_size_believability,traction_level,vision_strength,why_now_signal,interest_level,sentiment,top_objection,objection_category,strongest_signal,weakest_signal,trigger_that_worked,trigger_that_failed,suggested_improvement,strategic_feedback,evidence_snippet_1,evidence_snippet_2,confidence_score,status
propelr_pilabs_20260401,2026-04-01,Fin Bullough,Dhruv Gupta,Pi Labs,investor_pitch,4,4,4,3,4,3,4,3,"Revenue per transaction growing rapidly: GBP200 (2023) -> GBP1,000 (2024) -> GBP2,000-3,000 now, driven by survey product. First institutional round after building on team and strategic angels only.",4,positive,"No dominant player has emerged in this space despite many attempts - Pi Labs cannot pinpoint why. Secondary concern: UK-only focus limits Pi Labs ability to add network value, as most portfolio companies sell globally.",market,"Knight Frank partnership - first conveyancing partner KF has ever endorsed due to reputational risk threshold. Dhruv engaged throughout, asked to see product, and requested extended deck.","UK TAM and international expansion story. Market size believable domestically but Pi Labs LP network and value-add is globally oriented. Vision for scale beyond UK was underdeveloped in this call.","Knight Frank endorsement framed as a trust signal, not just a commercial win. Resonated as proof of category legitimacy.","UK-only market size framing. Raised concern rather than confidence - Pi Labs portfolio is globally distributed and LPs are international end-users.","Develop a credible international expansion narrative - even a staged one. Also: prepare a direct rehearsed answer for why no dominant player has emerged in this space. This objection will recur.",not_discussed,"Dhruv: No dominant player has emerged in this space despite many attempts - cannot pinpoint why.","Knight Frank partnership landed well - first conveyancing partner KF has ever endorsed due to reputational risk threshold.",4,corrected
propelr_zigg_20260331,2026-03-31,Fin Bullough,Elizabeth & Guy,Zigg Capital,investor_pitch,4,4,4,3,5,4,4,3,"Survey product launched March 2026 driving revenue per transaction to GBP3,000. Retail CRM integration live in 5 weeks to automate lead flow. New CRO (former VTS executive) joining. Platform described as Series A+ capable - the scaling infrastructure exists now.",3,neutral,not_discussed,other,not_discussed,not_discussed,not_discussed,not_discussed,"Team depth beyond Fin not addressed - the plan to scale from 8 to 30 people will draw questions about who is leading that build. The vision stops at 150 agent branches with no international or exit narrative. Consider preparing a clear answer on team hiring plan before next US fund meeting.",not_discussed,"410 transactions completed. Fall-through rate: <1% vs 40% market average. Speed: 20x faster than market.","Knight Frank: first conveyancing partner KF has ever endorsed. Agent pipeline: 1,000 branches available, 30 currently active.",2,pending
propelr_grayconsultancy_20260407,2026-04-07,Fin Bullough,Joe Hartman,Gray Consultancy,advisor_review + investor_friendly,3,3,3,3,3,3,3,3,"AI resilience is a current market strength. B2B2C distribution partnerships can be framed as ARR despite transactional nature. Blackfinch introduction imminent - model needs to be investor-ready first.",4,positive,"Financial model not yet simplified to the three key levers investors should bet on. Missing actual cash flow statement and historical actuals.",business_model,"Joe recommending introduction to Blackfinch and offering to co-introduce Nick - strong vote of confidence in Propelr fundability at this stage.","Round size of GBP3M flagged as too ambitious at current valuation - requires 12-15x revenue multiple which is a harder ask at this stage.","AI resilience framing resonated as a genuine current-market differentiator. B2B2C distribution reframed as recurring revenue - a more compelling investor narrative.","GBP3M raise target - flagged as requiring 12-15x revenue multiple to justify, which is a harder ask at this stage.","Before the Blackfinch meeting: (1) simplify the model summary tab to three key investor bets driven by one core metric - offices onboarded; (2) add a proper cash flow statement showing payment delays; (3) include 12 months of actuals and 2-3 years annual view.","Round size: Joe recommends anchoring at GBP1-1.5M rather than GBP3M - lower raise enables quicker close and 20-30% equity target. GBP3M requires 12-15x revenue multiple at ~GBP300k transactional revenue, which is a harder ask. Historical context: previous term sheet at GBP12.5M valuation (did not complete), prior round at GBP4M. Blackfinch typical cheque range: GBP250k-GBP1M for this stage. Note: Joe is on Blackfinch IC - this feedback reflects likely Blackfinch thinking, not only Gray Consultancy advice.","Joe: model driven by single key metric - number of office units onboarded. Summary tab needs simplification to three key levers investors should bet on.","Recommended raise size: GBP1-1.5M rather than GBP3M. Lower amount enables quicker close, 20-30% equity target. Blackfinch range: GBP250k-GBP1M for this stage.",4,pending
supersharp_uki2s_20260701,2026-07-01,Elizabeth Seward,Alex Leigh,UKI2S (Future Planet Capital),investor_pitch,4,4,4,4,4,3,3,4,FPC space pot recently topped up from GBP14M to GBP22M; UK Space Agency encouraged a revisit; Hibiscus launch-ready end of 2026; runway only to Dec/Jan without the raise.,4,positive,"Satlantis 58% majority stake. FPC mandate almost certainly requires Satlantis to drop below 50% before investment is possible - investor consent rights, director positions, tag/drag mechanics all difficult under corporate majority ownership.",other,"FPC engaged deeply on ownership mechanics rather than dismissing, offered Space Flux intro, and defined a conditional path to DD - clear appetite if structure is fixed.",Ownership structure dominated the call; September close target flagged as tight given August slowdown.,"GBP10M non-dilutive grants, Cambridge patents/IP moat, and the three-product roadmap landed as strong de-risking.",Subsidiary structure - unusual versus FPC's spinout/founder-led portfolio; Satlantis's plan to invest GBP700K to hold 51% is directly at odds with what FPC needs.,"Get Satlantis to a signed position on dropping below 50% before further institutional meetings; make the shareholding cheat sheet a standard artifact sent to every fund, not just FPC.",Satlantis <50% is a near-hard mandate requirement. September 2026 close flagged as tight given August. Elizabeth to use documented investor interest as leverage at Friday's Spain meeting.,Hard requirement from FPC: Satlantis must drop below 50% for investment to be within mandate.,Elizabeth to take investor interest back to Satlantis as leverage to explore dropping below 50%.,4,pending
supersharp_x50_20260701,2026-07-01,Elizabeth Seward,Nichola Quinn & Ted,XeleratedFifty (Accelerated X50),investor_pitch,4,4,4,3,4,3,3,4,GBP1.7M of GBP4M already committed; three launches staged 2026-2028; X50 ticket range (GBP1-3M) fits the remaining round exactly.,4,positive,Satlantis majority shareholding plus Elizabeth being incoming CEO rather than a founder - flagged repeatedly during the call.,other,X50 sees operational fit - Ted's Boeing defense background aligns with SuperSharp's markets; committed to a quick internal debrief and fast response.,Commercial pathway unclear - how GBP4M converts to early revenue; X50 named this the key area to explore before going further.,High-resolution long-wave infrared differentiation and the three-product price ladder; defense angle resonated with an A&D-focused fund.,GBP120M revenue target in 5-7 years not substantiated with a pathway; use-of-funds to first revenue felt vague.,"Build a one-page commercial pathway: GBP4M -> milestones -> first revenue, with the 13 LOIs and named pipeline attached. X50 explicitly said this decides the follow-up.","EIS ineligibility (Satlantis link) limits the UK investor pool - prioritize European/international funds. X50 sister funds (Skies 50, Marine 50) have GBP10M minimums, so SuperSharp is early for those.",Key investor concern flagged repeatedly: Satlantis majority shareholding and Elizabeth not being a founder.,X50 specifically flagged as the key area to explore: how GBP4M converts to early revenue and what strategic partnerships could shortcut go-to-market.,4,pending
supersharp_2150_20260701,2026-07-01,Elizabeth Seward,unclear,2150,investor_pitch,3,4,3,4,4,3,2,4,"2150 actively exploring their first space investment; SuperSharp fits their thesis (hardware-enabled software moats with owned customer relationships); Casper integration in September, launch imminent.",3,positive,Pre-commercial stage makes product-market fit hard to confirm; 2150 may prefer to wait for the next round once commercial traction is established.,traction,Direct thesis fit - hardware moat plus data/software revenue matches their space thesis; good interaction throughout per pipeline notes.,Stage mismatch - median check EUR2-6M against pre-commercial risk; cap table also flagged as uncertain in pipeline comments.,"Long-wave vs medium-wave technical differentiation (no cooling system needed) and framing competitors (Hydrosat, Satlantis, Satellogic) as potential customers.",First revenues targeted 2027 via milestone payments - too far out for an investor needing PMF confirmation now.,"Convert the active pipeline (constellation customer via platform provider, French government night-vision, drone survey company) into signed LOIs or pilot commitments to directly counter the 'too early' objection; follow up quickly on the portfolio-introduction offer.",Likely a next-round investor if this one closes without them - keep warm with commercial milestones. Elizabeth requested intros to 2150 portfolio companies that could use thermal data.,Main hesitation: pre-commercial stage makes product-market fit hard to confirm.,Investor's current space thesis: back companies that own customer relationships with hardware-enabled software moats.,3,pending
supersharp_fabric_20260701,2026-07-01,Elizabeth Seward,Thomas Crow,Fabric Ventures,investor_pitch,4,4,4,3,4,3,3,4,"Dense 6-12 month milestone runway: Casper ships to Spain for early-2027 launch, Hibiscus flight model delivered end of 2026, Spirit balloon test; GBP1.7M already committed.",3,neutral,Satlantis 58% ownership concentration - Fabric explicitly said it needs internal discussion before they can form a view.,other,"Ticket size plausible (~GBP1.5M average, likes to lead or co-lead) and strong Cambridge deal-flow affinity - could anchor the remaining GBP2.3M if structure clears.",Fabric has looked at space but never invested - sector-first-timer conviction hurdle stacked on top of the cap table question.,Defense revenue lines (active DASA ground-test contract) and GBP10M non-dilutive capital significantly extending equity.,Cap table discussion - disclosing Elizabeth's 3% vested offer and hope to negotiate higher surfaced low incoming-CEO equity as an additional flag.,Standardize the shareholder-structure narrative into a one-pager so it stops consuming first meetings; align internally on how CEO equity is presented before it comes up again.,"Fabric: EIF-backed EUR125M fund, pre-seed to Series A, leads/co-leads ~GBP1.5M. Tom to revert this week with their view on cap table and fit.",Fabric's reaction: ticket size plausible; Atlantis ownership concentration needs internal discussion.,"Cap table note: Satlantis holds 58%; founders hold 30%; Elizabeth on a 3% vested offer, hoping to negotiate higher.",4,pending
supersharp_balderton_20260603,2026-06-03,Elizabeth Seward,Phil Chambers,Balderton,investor_pitch,4,4,4,4,5,3,3,4,Casper flight hardware complete with launch slot being sought; September 2026 close target communicated and acknowledged by the investor.,4,positive,Satlantis 58% majority stake - Balderton prefers founder-controlled companies at early stage with at least 15% ownership available. They subsequently passed by email on exactly this point.,other,Deep product engagement in a third meeting - investor introduced a potential customer (Kestrex) and moved the structure to legal review (Adrian Rainey) rather than passing on the spot.,All momentum became gated on the shareholder structure review; nothing else was blocking.,"Dual revenue model (hardware sales plus data sales), platform partnerships (Endurosat, NanoAvionics), and core IP story (Hibiscus patent, image-following system).",The shareholder structure overview - majority corporate ownership with founders below their 15% availability threshold.,"When a fund states an explicit ownership threshold, address economics head-on in the meeting with a pro-forma post-round cap table, rather than deferring to a written overview and legal review.","OUTCOME: passed after the call - email confirmed majority ownership was not a fit. Three meetings of genuine product conviction could not clear the cap table. This is the clearest evidence yet that structure, not story, is blocking tier-1 VCs.",Investor prefers founder-controlled companies at early stage with at least 15% ownership available.,Pipeline comment: Email received that majority ownership was not a fit - passed after a strong third meeting.,4,pending
supersharp_beachequity_20260410,2026-04-10,Elizabeth Seward,Noah Schneiderman,Beach Equity,investor_pitch,3,3,3,3,3,3,2,3,Weak in this call - the formal business model was still being completed (cited as the reason for a funding pause); warm intro credibility via Alex's prior investment and his preliminary 3-9x return analysis.,3,positive,"Hold-period mismatch: SuperSharp's 7-10 year timeline vs Beach's typical 3-5 year expectation, compounded by EIS ineligibility (Beach is an EIS specialist) and revenue not expected until a couple of years after the 2028 first flight.",timing,"Noah offered deck review, personal investment (GBP10-20K), and to socialize the deal with the Beach team and his network.","Institutional fit gaps stacked up - ticket size (GBP2-6M institutional range), EIS requirement, hold period, and lead/co-lead preference all misaligned; Noah later confirmed he cannot do GBP100K personally.","Board credibility (Lord Stuart Peach, Mark Garnier) and defense/wildfire applications.",Revenue timeline - commercial sales a couple of years after 2028 first flight; Noah flagged 7-10 years as quite a long hold.,"Qualify institutional fit (ticket size, EIS, hold period) in the first ten minutes - this was always an angel-ticket conversation and should have been run as one.","Beach institutional range GBP2-6M, leads/co-leads, EIS-focused, UK-HQ required - structurally a poor fit. Real value is Noah's network/SPV potential and Tommy O'Sullivan's involvement in the government space investment program alongside British Business Bank.",Supersharp timeline preference: 7-10 years (Noah noted this is quite a long hold for their typical 3-5 year expectation).,Not EIS eligible due to foreign ownership - Beach tends to look at EIS-eligible investments on growth side.,3,pending
supersharp_hollywoodventures_20260429,2026-04-29,Elizabeth Seward,Mauricio Mireles Poulat,Hollywood Ventures (Camiga),follow_up,3,3,3,3,3,3,3,3,Valuation step-up from GBP17M to GBP21M pre justified by the EUR4M Horizon grant win (EUR1.8M to SuperSharp) and Endurosat flight-hardware partnership.,5,positive,"Valuation pressure: initial proposal implied ~GBP12.5M via bulk-discount logic, then a 15% first-tranche discount request - Will Parker flagged discount challenges for concurrent investors.",valuation,USD1M commitment confirmed at GBP21M pre-money - external validation of the step-up from the GBP17M angel round.,Discount and two-tranche mechanics add closing complexity and MFN risk with concurrent investors; closing timeline slipped from May 15 to May 30.,Horizon grant contract as concrete valuation justification - moved Mauricio from GBP12.5M logic to accepting GBP21M pre.,not_discussed,Standardize a round-wide discount/side-letter policy now - a 15% tranche-one discount will create friction with concurrent and later investors if not framed consistently.,"Valuation history: Alex GBP500K at GBP17M pre (Dec 2025); now GBP21M pre. Satlantis consent collected upfront via board resolutions with irreversible authority - a reusable answer to VC governance concerns about majority-shareholder veto. Per pipeline: GBP1M confirmed May, UK counsel being appointed.",Mauricio's initial proposal implied ~GBP12.5M valuation - based on bulk discount logic.,First tranche: GBP500K in May with 15% discount; Will Parker noted discount challenges for concurrent investors.,3,pending
